id,review,date,response,responseTime,imageUrls,rating,qa,user
ChdDSUhNMG9nS0VJQ0FnSUNuOF8yNjZRRRAB,,a month ago,,,,5 stars,,[object Object]
ChdDSUhNMG9nS0VJQ0FnSUNuczV1UnVBRRAB,,a month ago,,,,5 stars,"Visited on
Weekend,Wait time
No wait",[object Object]
ChdDSUhNMG9nS0VJQ0FnSUNuczRQTmp3RRAB,,a month ago,,,,5 stars,"Wait time
No wait,Reservation recommended
No",[object Object]
ChZDSUhNMG9nS0VJQ0FnSUNuczlISURnEAE,,a month ago,,,,5 stars,"Visited on
Weekend,Wait time
No wait,Reservation recommended
Yes",[object Object]
ChZDSUhNMG9nS0VJQ0FnSUNuczVHSEFREAE,,a month ago,,,,"



",,[object Object]
ChZDSUhNMG9nS0VJQ0FnSUNuczZHc0xBEAE,,a month ago,,,"https://lh5.googleusercontent.com/p/AF1QipPY3ys5m7tDm5R2Mzt-2JrG-1pU7uYJNS8tSP47=w1200,https://lh5.googleusercontent.com/p/AF1QipOK9scUeZJybF6Ss5gUaYKRsbS3FTIcel48mqob=w1200,https://lh5.googleusercontent.com/p/AF1QipML-zdTXRqP18aaZaLVzVf9zIYeKJNz0R9AzmWl=w1200",5 stars,,[object Object]
ChZDSUhNMG9nS0VJQ0FnSUNuMC11VU1REAE,,a month ago,,,,5 stars,"Visited on
Weekday,Wait time
No wait,Reservation recommended
No",[object Object]
ChdDSUhNMG9nS0VJQ0FnSUNuazRhWHJBRRAB,,a month ago,,,,4 stars,"Visited on
Weekend,Wait time
No wait,Reservation recommended
No",[object Object]
ChZDSUhNMG9nS0VJQ0FnSUNqdU5XUlp3EAE,,a month ago,,,,4 stars,"Visited on
Weekday,Wait time
10–30 min,Reservation recommended
Yes",[object Object]
ChZDSUhNMG9nS0VJQ0FnSUNuay1UVlBREAE,,a month ago,,,"https://lh5.googleusercontent.com/p/AF1QipNvQDtYxWsLC-X2u9wP8WxDugN-3bdpLp15GTtA=w1200,https://lh5.googleusercontent.com/p/AF1QipNlaL7AB-NGmlYJbV7CrM_BWG2FlvAjPncBZvaZ=w1200,https://lh5.googleusercontent.com/p/AF1QipNhjRjHSMMjFyrkmUdEYfeqOtui-B0LJq9U5TEe=w1200",4 stars,"Visited on
Weekend,Wait time
No wait,Reservation recommended
Not sure",[object Object]
